model,accuracy,precision,recall,f1_score,roc_auc
Logistic Regression,0.607,0.6300539083557951,0.3977031050616759,0.4876140808344198,0.6425565436520992
Random Forest,0.5944,0.5773097175682145,0.5129732028923862,0.5432432432432432,0.6260371441017926
